Naive ['D', 'C', 'B', 'E', 'A', 'D'] 485.22999999999996 0.00
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
ACO ['D', 'A', 'E', 'B', 'C', 'D'] 485.22999999999996 0.01
