ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.07
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.07
