Naive ['A', 'D', 'C', 'B', 'E', 'A'] 433.88999999999993 0.00
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.01
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.02
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.02
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.01
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.01
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.01
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.02
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.01
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.01
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.02
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.01
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.01
ACO ['A', 'D', 'B', 'C', 'E', 'A'] 450.48999999999995 0.01
ACO ['A', 'D', 'C', 'B', 'E', 'A'] 433.89 0.01
ACO ['A', 'D', 'E', 'B', 'C', 'A'] 463.44 0.01
