Naive ['F', 'I', 'D', 'B', 'E', 'J', 'A', 'H', 'G', 'C', 'F'] 535.5099999999999 0.12
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'I', 'D', 'B', 'E', 'J', 'A', 'H', 'G', 'C', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'I', 'D', 'B', 'E', 'J', 'A', 'H', 'G', 'C', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'I', 'D', 'B', 'E', 'J', 'A', 'H', 'G', 'C', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'I', 'D', 'B', 'E', 'J', 'A', 'H', 'G', 'C', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'I', 'D', 'B', 'E', 'J', 'A', 'H', 'G', 'C', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.06
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
ACO ['F', 'C', 'G', 'H', 'A', 'J', 'E', 'B', 'D', 'I', 'F'] 535.51 0.05
