Naive ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999996 73.06
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.88
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.90
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.89
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.89
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'F', 'H', 'B', 'J'] 665.7400000000001 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.87
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.86
