Naive ['A', 'E', 'B', 'D', 'C', 'A'] 365.2899999999999 0.00
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
ACO ['A', 'C', 'D', 'B', 'E', 'A'] 365.29 0.15
